11:17:13 PM,6.67,6.67,6.67,1.67,0.00,1.67,0.00,0.00,10.00,
11:17:53 PM,6.67,0.00,6.67,3.33,5.00,8.33,10.00,10.00,10.00,
11:18:32 PM,0.00,8.33,10.00,1.67,8.33,5.00,0.00,10.00,10.00,
11:19:11 PM,5.00,5.00,6.67,10.00,3.33,1.67,10.00,10.00,10.00,
11:19:51 PM,0.00,1.67,1.67,8.33,0.00,10.00,10.00,0.00,10.00,
11:20:31 PM,6.67,6.67,1.67,1.67,5.00,3.33,10.00,10.00,10.00,
11:21:10 PM,8.33,1.67,0.00,5.00,3.33,6.67,10.00,10.00,10.00,
11:21:49 PM,5.00,1.67,6.67,5.00,5.00,1.67,0.00,10.00,10.00,
11:22:29 PM,3.33,0.00,0.00,10.00,6.67,0.00,10.00,10.00,0.00,
11:23:08 PM,5.00,3.33,5.00,10.00,10.00,0.00,10.00,0.00,10.00,
11:23:48 PM,0.00,0.00,0.00,0.00,8.33,3.33,10.00,0.00,0.00,
11:24:27 PM,3.33,3.33,5.00,0.00,8.33,0.00,0.00,0.00,10.00,
11:25:06 PM,3.33,6.67,6.67,10.00,6.67,3.33,0.00,10.00,10.00,
11:25:46 PM,10.00,3.33,10.00,5.00,5.00,5.00,0.00,10.00,10.00,
11:26:26 PM,5.00,5.00,0.00,0.00,3.33,6.67,0.00,10.00,0.00,
11:27:05 PM,3.33,0.00,0.00,1.67,0.00,6.67,10.00,10.00,0.00,
11:27:45 PM,8.33,0.00,6.67,1.67,1.67,5.00,10.00,0.00,10.00,
11:28:24 PM,5.00,3.33,8.33,10.00,3.33,1.67,0.00,10.00,10.00,
11:29:03 PM,3.33,8.33,10.00,6.67,3.33,5.00,0.00,0.00,10.00,
11:29:42 PM,3.33,8.33,8.33,3.33,5.00,6.67,10.00,0.00,10.00,
11:30:22 PM,6.67,0.00,1.67,10.00,8.33,6.67,0.00,10.00,10.00,
11:31:02 PM,3.33,5.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,
11:31:42 PM,1.67,5.00,5.00,1.67,5.00,5.00,0.00,0.00,10.00,
11:32:21 PM,1.67,8.33,6.67,5.00,10.00,0.00,10.00,10.00,10.00,
11:33:00 PM,1.67,5.00,5.00,5.00,3.33,6.67,10.00,10.00,10.00,
11:33:39 PM,1.67,6.67,8.33,0.00,6.67,0.00,0.00,0.00,10.00,
11:34:19 PM,3.33,6.67,10.00,1.67,8.33,5.00,10.00,10.00,10.00,
11:34:58 PM,8.33,8.33,6.67,10.00,6.67,1.67,10.00,0.00,10.00,
11:35:38 PM,5.00,5.00,10.00,10.00,3.33,10.00,10.00,0.00,10.00,
11:36:17 PM,10.00,5.00,0.00,5.00,1.67,1.67,0.00,10.00,10.00,
11:36:56 PM,0.00,1.67,8.33,5.00,6.67,6.67,10.00,0.00,0.00,
11:37:35 PM,6.67,8.33,0.00,8.33,3.33,5.00,10.00,0.00,0.00,
11:38:16 PM,6.67,8.33,0.00,1.67,5.00,10.00,10.00,10.00,10.00,
